Date,Water
06/07/2021,1239.789
04/07/2021,1239.025
02/07/2021,1238.183
01/07/2021,1237.796
30/06/2021,1232.908
29/06/2021,1232.394
27/06/2021,1231.69
25/06/2021,1231.423
24/06/2021,1231.378
21/06/2021,1231.34
17/06/2021,1231.261
16/06/2021,1231.243
15/06/2021,1231.034
13/06/2021,1230.412
11/06/2021,1229.864
10/06/2021,1229.59
09/06/2021,1229.247
08/06/2021,1228.584
06/06/2021,1228.218
03/06/2021,1227.156
01/06/2021,1226.486
30/05/2021,1225.769
26/05/2021,1224.41
23/05/2021,1223.485
21/05/2021,1222.813
20/05/2021,1222.538
17/05/2021,1221.587
16/05/2021,1221.225
14/05/2021,1220.401
09/05/2021,1218.367
07/05/2021,1217.509
05/05/2021,1216.894
04/05/2021,1216.439
02/05/2021,1215.55
28/04/2021,1214.013
27/04/2021,1213.573
25/04/2021,1212.764
22/04/2021,1211.577
21/04/2021,1211.206
20/04/2021,1210.834
19/04/2021,1209.11
10/04/2021,1207.264
08/04/2021,1206.143
05/04/2021,1204.708
31/03/2021,1202.287
28/03/2021,1200.822
24/03/2021,1198.875
22/03/2021,1197.952
18/03/2021,1196.075
14/03/2021,1194.131
11/03/2021,1192.647
28/02/2021,1187.05
25/02/2021,1185.524
24/02/2021,1184.996
21/02/2021,1183.498
18/02/2021,1181.94
17/02/2021,1181.419
14/02/2021,1179.885
10/02/2021,1177.756
07/02/2021,1176.157
24/01/2021,1168.649
19/01/2021,1166.039
14/01/2021,1163.387
11/01/2021,1161.788
10/01/2021,1161.274
09/01/2021,1160.909
06/01/2021,1159.234
03/01/2021,1157.718
28/12/2020,1154.556
22/12/2020,1151.388
16/12/2020,1148.194
14/12/2020,1147.148
06/12/2020,1143.211
18/11/2020,1134.576
12/11/2020,1131.86
02/11/2020,1126.968
25/10/2020,1123.063
22/10/2020,1121.634
20/10/2020,1120.71
13/10/2020,1117.442
11/10/2020,1116.528
08/10/2020,1115.127
04/10/2020,1113.315
01/10/2020,1111.943
28/09/2020,1110.571
24/09/2020,1108.726
20/09/2020,1107.066
16/09/2020,1105.372
12/09/2020,1103.718
11/09/2020,1103.228
10/09/2020,1102.786
07/09/2020,1101.484
06/09/2020,1101.04
04/09/2020,1100.164
03/09/2020,1099.694
02/09/2020,1099.277
30/08/2020,1097.928
27/08/2020,1096.583
25/08/2020,1095.626
24/08/2020,1095.191
22/08/2020,1094.325
21/08/2020,1093.924
20/08/2020,1093.417
19/08/2020,1092.964
18/08/2020,1092.5
17/08/2020,1092.013
16/08/2020,1091.551
15/08/2020,1091.174
13/08/2020,1090.231
12/08/2020,1089.749
11/08/2020,1089.321
10/08/2020,1088.808
09/08/2020,1088.351
06/08/2020,1087.08
05/08/2020,1086.696
04/08/2020,1086.292
30/07/2020,1084.292
29/07/2020,1083.904
27/07/2020,1083.017
26/07/2020,1082.597
24/07/2020,1081.765
22/07/2020,1080.921
21/07/2020,1080.513
20/07/2020,1080.081
19/07/2020,1079.643
16/07/2020,1078.283
13/07/2020,1076.737
12/07/2020,1076.222
09/07/2020,1074.684
07/07/2020,1073.773
06/07/2020,1073.341
05/07/2020,1072.839
04/07/2020,1072.369
02/07/2020,1071.51
01/07/2020,1070.967
30/06/2020,1070.405
29/06/2020,1069.828
28/06/2020,1069.268
26/06/2020,1068.297
25/06/2020,1067.704
24/06/2020,1067.151
22/06/2020,1066.23
20/06/2020,1065.72
10/06/2020,1059.606
08/06/2020,1058.434
02/06/2020,1055.28
31/05/2020,1054.219
28/05/2020,1052.603
25/05/2020,1051.031
13/05/2020,1045.155
18/05/2020,1047.469
15/05/2020,1045.946
10/05/2020,1043.893
01/05/2020,1040.032
07/04/2020,1030.83
30/03/2020,1027.563
25/03/2020,1025.299
17/03/2020,1021.513
08/03/2020,1018.348
02/03/2020,1016.098
23/02/2020,1013.321
16/02/2020,1010.687
09/02/2020,1008.225
04/02/2020,1006.09
29/01/2020,1003.949
26/01/2020,1002.839
21/01/2020,1000.771
19/01/2020,1000.061
12/01/2020,997.623
09/01/2020,996.544
07/01/2020,995.73
05/01/2020,995.04
03/01/2020,994.277
01/01/2020,992.405
29/12/2019,990.589
25/12/2019,989.399
22/12/2019,988.687
17/12/2019,986.406
15/12/2019,985.454
14/12/2019,985.225
12/12/2019,983.379
11/12/2019,983.038
10/12/2019,982.649
04/12/2019,982.259
03/12/2019,982.258
30/11/2019,980.049
28/11/2019,978.384
25/11/2019,976.098
23/11/2019,974.563
21/11/2019,972.963
20/11/2019,972.125
17/11/2019,969.921
14/11/2019,967.797
07/11/2019,962.916
05/11/2019,961.736
04/11/2019,961.44
29/10/2019,957.349
21/10/2019,952.81
15/10/2019,949.5
05/10/2019,944.319
26/09/2019,939.141
22/09/2019,937.084
20/09/2019,935.758
13/09/2019,933.909
11/09/2019,932.827
08/09/2019,931.318
03/09/2019,928.678
01/09/2019,927.619
28/08/2019,925.543
27/08/2019,924.337
26/08/2019,920.226
24/08/2019,920.033
22/08/2019,919.767
20/08/2019,919.487
17/08/2019,919.083
14/08/2019,918.244
10/08/2019,916.565
07/08/2019,914.835
06/08/2019,914.239
04/08/2019,913.224
28/07/2019,908.428
23/07/2019,904.342
18/07/2019,903.061
14/07/2019,901.756
07/07/2019,899.498
06/07/2019,899.388
04/07/2019,894.898
26/06/2019,892.036
16/06/2019,890.678
26/05/2019,866.446
12/05/2019,853.157
09/05/2019,850.872
30/04/2019,845.132
21/04/2019,844.645
09/04/2019,830.699
02/04/2019,823.925
23/03/2019,816
22/02/2019,795
